@relation clustering_1_clustered

@attribute Instance_number numeric
@attribute requests/s numeric
@attribute processtime numeric
@attribute queuetime numeric
@attribute sendtime numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
235,1272.241031,0.002148,0.000147,0.000083,cluster0
236,1252.533837,0.002164,0.00012,0.000094,cluster0
237,1327.145014,0.001885,0.000308,0.000099,cluster0
238,1249.946019,0.002073,0.000124,0.00008,cluster0
239,1259.865027,0.001965,0.000236,0.000085,cluster0
240,1268.761395,0.002384,0.000385,0.000097,cluster0
241,1328.397246,0.002814,0.000408,0.000117,cluster0
242,1379.991488,0.002302,0.000161,0.00012,cluster0
243,1356.366965,0.002326,0.000197,0.000111,cluster0
244,1359.594289,0.002285,0.000174,0.000111,cluster0
245,1379.975491,0.002309,0.000154,0.000117,cluster0
246,1416.086926,0.002883,0.000973,0.000131,cluster0
247,1377.136989,0.002762,0.003964,0.000132,cluster0
248,1429.073332,0.002516,0.001391,0.000149,cluster0
249,1301.102306,0.002575,0.000243,0.000114,cluster0
250,1374.168049,0.002518,0.002392,0.00012,cluster0
251,1333.209303,0.002162,0.000141,0.000113,cluster0
252,1393.808837,0.002193,0.000146,0.000099,cluster0
253,1418.209555,0.002069,0.000127,0.000079,cluster0
254,1424.681002,0.002311,0.001776,0.000119,cluster0
255,1432.383319,0.001967,0.000121,0.000102,cluster0
256,1462.443767,0.002148,0.000125,0.000102,cluster0
257,1473.043617,0.002081,0.000134,0.000095,cluster0
258,1476.501572,0.002265,0.000286,0.000087,cluster0
259,1492.659656,0.001988,0.000148,0.000108,cluster0
260,1486.941588,0.002141,0.000155,0.000107,cluster0
261,1494.183504,0.002181,0.00019,0.00011,cluster0
262,1581.421214,0.00236,0.000219,0.0001,cluster0
263,1446.198272,0.002168,0.000151,0.000108,cluster0
264,1476.16206,0.002134,0.00016,0.000098,cluster0
265,1540.373975,0.002074,0.000186,0.000125,cluster0
266,1492.674833,0.002308,0.000448,0.000107,cluster0
267,1534.072338,0.002154,0.000152,0.000077,cluster0
268,1504.14541,0.002148,0.000417,0.000125,cluster0
269,1462.328792,0.001895,0.000127,0.000087,cluster0
270,1436.240398,0.002466,0.000834,0.000109,cluster0
271,1520.988265,0.002143,0.000302,0.000138,cluster0
272,1653.133528,0.002576,0.00377,0.00013,cluster2
273,1620.612041,0.002308,0.000389,0.000108,cluster0
274,1526.913621,0.002013,0.000149,0.000075,cluster0
275,1554.752897,0.002359,0.000252,0.000129,cluster0
276,1550.666678,0.002415,0.000172,0.000123,cluster0
277,1558.433925,0.002118,0.000369,0.000098,cluster0
278,1596.568932,0.002159,0.000254,0.000118,cluster0
279,1685.59815,0.002115,0.000189,0.000121,cluster0
280,1635.071649,0.002232,0.000182,0.000135,cluster0
281,1614.628336,0.002609,0.001694,0.000154,cluster2
282,1622.454493,0.003073,0.001993,0.000155,cluster2
283,1604.640125,0.002812,0.000726,0.000163,cluster2
284,1583.92832,0.00224,0.000471,0.000119,cluster0
285,1580.850698,0.002421,0.000211,0.000133,cluster0
286,1828.285379,0.002079,0.000138,0.00009,cluster2
287,1696.110168,0.001996,0.000165,0.00012,cluster0
288,1682.024242,0.002041,0.000188,0.000084,cluster0
289,1619.279803,0.002059,0.000213,0.000101,cluster0
290,1662.414355,0.00227,0.000202,0.000294,cluster2
291,1638.374619,0.002225,0.000161,0.000091,cluster0
292,1689.410266,0.002604,0.000286,0.000125,cluster2
293,1684.590678,0.002555,0.001369,0.000132,cluster2
294,1616.760665,0.002159,0.000183,0.00012,cluster0
295,1799.461495,0.002452,0.000326,0.000122,cluster2
296,1665.142237,0.002419,0.000457,0.000139,cluster2
297,1624.929096,0.002987,0.000698,0.000199,cluster2
298,1730.908034,0.003087,0.002143,0.000124,cluster2
299,1713.296671,0.002779,0.00096,0.00015,cluster2
300,1893.664124,0.003055,0.002545,0.000173,cluster2
301,1899.142659,0.002428,0.000871,0.000116,cluster2
302,1883.304192,0.002882,0.003711,0.000154,cluster2
303,1807.771384,0.002272,0.000198,0.000151,cluster2
304,1721.32072,0.002063,0.000156,0.000107,cluster2
305,1792.756692,0.002125,0.000194,0.00009,cluster2
306,1812.558562,0.002187,0.00024,0.00011,cluster2
307,1766.913213,0.002293,0.000311,0.000143,cluster2
308,1822.923528,0.002071,0.000216,0.000109,cluster2
309,1813.88158,0.002418,0.000554,0.000139,cluster2
310,1833.636511,0.003171,0.002508,0.000202,cluster2
311,1877.670306,0.002427,0.000258,0.00015,cluster2
312,1896.728041,0.002407,0.000276,0.000131,cluster2
313,1884.782342,0.003291,0.001602,0.000173,cluster2
314,1866.945999,0.003116,0.001283,0.000202,cluster2
315,1836.061801,0.003496,0.006559,0.000152,cluster2
316,1873.068484,0.00296,0.000589,0.00016,cluster2
317,1843.308232,0.002808,0.000783,0.000178,cluster2
318,1902.112913,0.003075,0.003317,0.000132,cluster2
319,1936.551646,0.003321,0.003474,0.000133,cluster2
320,1904.239345,0.002883,0.001728,0.000155,cluster2
321,1906.06167,0.002435,0.00032,0.000133,cluster2
322,1920.476927,0.002321,0.000691,0.000133,cluster2
323,1884.982311,0.002531,0.000634,0.00017,cluster2
324,1955.865341,0.002275,0.000207,0.000141,cluster2
325,1878.3648,0.003233,0.002342,0.000146,cluster2
326,1964.992913,0.00296,0.002763,0.000141,cluster2
327,1942.079085,0.002398,0.000244,0.000142,cluster2
328,1884.150455,0.002701,0.002402,0.000127,cluster2
329,1881.655649,0.002818,0.002091,0.000125,cluster2
330,1886.82358,0.00261,0.000414,0.00013,cluster2
331,1940.457209,0.002718,0.001393,0.000129,cluster2
332,1990.985549,0.002606,0.000959,0.000144,cluster2
333,2000.615089,0.002802,0.001884,0.000134,cluster2
334,2075.101871,0.002542,0.001069,0.000173,cluster2
335,2041.07201,0.002721,0.002159,0.000167,cluster2
336,1918.532205,0.002728,0.000649,0.00016,cluster2
337,1903.389595,0.003021,0.002437,0.000155,cluster2
338,1964.047852,0.002778,0.001436,0.000164,cluster2
339,1936.50349,0.003008,0.002229,0.000159,cluster2
340,1966.47739,0.003075,0.002148,0.000163,cluster2
341,2039.825836,0.003175,0.002448,0.00017,cluster2
342,1977.792847,0.002993,0.001256,0.000153,cluster2
