Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada
2024/03/04 22:48:30;4946028;114264;3923744
2024/03/04 22:48:35;4945552;114312;3923620
2024/03/04 22:48:40;4945300;114352;3923620
2024/03/04 22:48:45;4945048;114396;3923620
2024/03/04 22:48:50;4944584;114424;3923616
2024/03/04 22:48:55;4936016;114448;3928868
2024/03/04 22:49:00;4935512;114460;3923620
2024/03/04 22:49:05;4934000;114496;3923624
2024/03/04 22:49:10;4933748;114532;3923628
2024/03/04 22:49:15;4933248;114564;3923628
2024/03/04 22:49:20;4923672;114588;3923628
2024/03/04 22:49:25;4923168;114636;3923632
2024/03/04 22:49:30;4923168;114668;3923624
2024/03/04 22:49:35;4928420;114728;3923668
2024/03/04 22:49:40;4928168;114740;3923628
2024/03/04 22:49:45;4928168;114784;3923876
2024/03/04 22:49:50;4911020;114844;3928076
2024/03/04 22:49:55;4812800;114908;3929112
2024/03/04 22:50:01;4697324;114996;3931040
2024/03/04 22:50:06;4720000;115064;3931148
2024/03/04 22:50:11;4677348;115100;3933888
2024/03/04 22:50:16;4672052;115180;3935812
2024/03/04 22:50:21;4680024;115276;3943704
2024/03/04 22:50:26;4697160;115300;3939844
2024/03/04 22:50:31;4737660;115384;3944172
2024/03/04 22:50:36;4677076;115496;3945704
2024/03/04 22:50:41;4645992;115584;3946296
2024/03/04 22:50:46;4624100;115616;3946256
2024/03/04 22:50:51;4594500;115672;3947788
2024/03/04 22:50:56;4506204;115692;3948360
2024/03/04 22:51:01;4529652;115744;3949124
2024/03/04 22:51:06;4469320;115772;3949368
2024/03/04 22:51:12;4381048;115968;3950700
2024/03/04 22:51:17;4360812;116020;3960056
2024/03/04 22:51:22;4296312;116180;3964384
2024/03/04 22:51:27;4213772;116280;3962188
2024/03/04 22:51:32;4207372;116364;3967016
2024/03/04 22:51:37;4143440;116540;3967752
2024/03/04 22:51:42;4247468;116576;3963852
2024/03/04 22:51:47;4301848;116608;3964168
2024/03/04 22:51:52;4302604;116628;3964172
2024/03/04 22:51:57;4146396;116656;3965216
2024/03/04 22:52:03;4303044;116712;3964808
2024/03/04 22:52:08;4310988;116772;3964480
2024/03/04 22:52:13;4315472;116788;3964792
2024/03/04 22:52:18;4316228;116820;3963992
2024/03/04 22:52:23;4320256;116852;3963936
2024/03/04 22:52:28;4320508;116896;3963196
2024/03/04 22:52:33;4325212;116960;3963992
2024/03/04 22:52:38;4338524;117020;3963340
2024/03/04 22:52:43;4338524;117044;3963784
2024/03/04 22:52:48;4338020;117068;3963172
2024/03/04 22:52:53;4338020;117104;3963172
2024/03/04 22:52:58;4337768;117144;3963172
2024/03/04 22:53:04;4341968;117176;3963168
2024/03/04 22:53:09;4341716;117192;3963196
2024/03/04 22:53:14;4341480;117240;3962472
2024/03/04 22:53:19;4341228;117288;3963216
2024/03/04 22:53:24;4308796;117360;3974016
2024/03/04 22:53:29;4308292;117372;3977732
2024/03/04 22:53:34;4307788;117404;3974092
