Timestamp;% CPU (global);% CPU (user);% CPU (system)
2024/03/03 00:46:16;4.2;0.6;1.8
2024/03/03 00:46:18;3.2;0.0;1.3
2024/03/03 00:46:20;4.5;0.6;1.7
2024/03/03 00:46:22;2.6;0.0;0.6
2024/03/03 00:46:25;3.9;0.7;2.0
2024/03/03 00:46:27;2.6;0.7;0.7
2024/03/03 00:46:29;4.4;0.0;1.9
2024/03/03 00:46:32;2.4;0.6;0.6
2024/03/03 00:46:34;4.6;0.7;1.3
2024/03/03 00:46:36;3.3;0.0;0.7
2024/03/03 00:46:38;3.7;0.6;1.8
2024/03/03 00:46:40;4.6;0.0;2.0
2024/03/03 00:46:45;1.9;0.0;0.6
2024/03/03 00:46:47;2.7;0.0;1.1
2024/03/03 00:46:49;2.0;0.0;0.7
2024/03/03 00:46:52;2.2;0.5;0.5
2024/03/03 00:46:54;2.9;0.0;0.6
2024/03/03 00:46:56;4.8;0.6;0.6
2024/03/03 00:46:58;2.4;0.0;1.2
2024/03/03 00:47:00;3.9;0.0;1.3
2024/03/03 00:47:03;1.9;0.0;0.6
2024/03/03 00:47:05;2.6;0.0;1.0
2024/03/03 00:47:07;1.0;0.3;0.3
2024/03/03 00:47:10;2.7;0.0;1.1
2024/03/03 00:47:12;3.3;0.0;1.1
2024/03/03 00:47:15;1.8;0.0;0.6
2024/03/03 00:47:17;2.9;0.6;0.6
2024/03/03 00:47:19;1.9;0.0;1.3
2024/03/03 00:47:22;2.9;0.0;1.2
2024/03/03 00:47:24;2.9;0.6;1.7
2024/03/03 00:47:26;2.4;0.5;0.5
2024/03/03 00:47:29;2.4;0.0;1.0
2024/03/03 00:47:31;3.0;0.6;0.6
2024/03/03 00:47:33;2.5;0.6;0.6
2024/03/03 00:47:36;4.2;0.0;1.8
2024/03/03 00:47:38;3.7;0.6;0.6
2024/03/03 00:47:40;5.9;0.6;1.2
2024/03/03 00:47:42;3.8;0.0;1.9
2024/03/03 00:47:45;3.6;0.0;1.2
2024/03/03 00:47:47;2.6;0.0;0.7
2024/03/03 00:47:50;2.3;0.6;0.6
2024/03/03 00:47:52;3.2;0.6;0.6
2024/03/03 00:47:54;2.3;0.0;0.0
2024/03/03 00:47:57;2.7;0.7;0.0
2024/03/03 00:47:59;3.1;0.6;1.2
2024/03/03 00:48:02;1.9;0.0;1.3
2024/03/03 00:48:04;3.8;0.6;1.3
2024/03/03 00:48:06;2.4;0.0;0.6
2024/03/03 00:48:09;1.9;0.0;0.6
2024/03/03 00:48:11;3.2;0.6;1.3
2024/03/03 00:48:14;3.3;0.0;1.3
2024/03/03 00:48:16;2.5;0.0;1.2
2024/03/03 00:48:19;4.4;0.6;1.3
2024/03/03 00:48:21;4.4;0.6;1.9
2024/03/03 00:48:24;2.8;0.0;1.7
2024/03/03 00:48:26;4.5;0.6;1.3
2024/03/03 00:48:28;2.3;0.0;0.6
2024/03/03 00:48:31;3.4;0.6;1.1
2024/03/03 00:48:33;3.8;0.6;1.9
2024/03/03 00:48:35;2.5;0.0;0.0
2024/03/03 00:48:39;2.1;0.0;0.5
2024/03/03 00:48:41;3.3;0.5;0.5
2024/03/03 00:48:43;2.0;0.7;0.0
2024/03/03 00:48:45;3.2;0.5;1.1
